time,node,obj,bestbound
2.577218225237e12,0.0,5254.06,1437.71
2.577227780466e12,0.0,5254.06,3540.04
2.577228702295e12,0.0,5254.06,3605.16
2.577228747876e12,0.0,5254.06,3605.16
2.577236870403e12,0.0,5023.39,4320.98
2.577237352468e12,0.0,5023.39,4837.07
2.57723747973e12,0.0,5023.39,4837.07
2.577237503067e12,0.0,5023.39,4837.07
2.577239670898e12,0.0,5023.39,4837.07
2.577239856503e12,0.0,5023.39,4872.3
2.577239987777e12,0.0,5023.39,4872.3
2.577240109933e12,0.0,5023.39,4872.3
2.577240182134e12,0.0,5023.39,4872.42
2.577240201095e12,0.0,5023.39,4872.42
2.57742687118e12,0.0,4877.56,1041.99
2.577427095074e12,0.0,4877.56,1041.99
2.577441032273e12,0.0,4877.56,1041.99
2.577444548206e12,1.0,4877.56,1041.99
2.577444567897e12,2.0,4877.56,1041.99
2.577447391365e12,3.0,4877.56,1229.27
2.577447408503e12,4.0,4877.56,1229.27
2.577448158219e12,5.0,4877.56,1229.3
2.577448169887e12,6.0,4877.56,1229.3
2.577449050512e12,7.0,4877.56,1338.64
2.577449966871e12,9.0,4877.56,1338.64
2.57744997854e12,10.0,4877.56,1338.64
2.577452637551e12,11.0,4877.56,1338.64
2.577452687872e12,13.0,4877.56,1338.64
2.577452698447e12,14.0,4877.56,1338.64
2.577454984424e12,15.0,4877.56,1338.64
2.577455017242e12,16.0,4877.56,1338.64
2.57745502964e12,17.0,4877.56,1338.64
2.577455038027e12,18.0,4877.56,1338.64
2.577456214016e12,19.0,4877.56,1338.64
2.577456245011e12,20.0,4877.56,1338.64
2.577456283663e12,21.0,4877.56,1338.64
2.577456298614e12,22.0,4877.56,1338.64
2.577460575931e12,23.0,4877.56,1338.64
2.577460592341e12,24.0,4877.56,1338.64
2.577460609114e12,26.0,4877.56,1338.64
2.577460615678e12,27.0,4877.56,1338.64
2.577460667823e12,28.0,3908.25,1338.64
2.577463660122e12,29.0,3908.25,1338.64
2.577463668873e12,30.0,3908.25,1338.64
2.577468686425e12,35.0,3908.25,1338.64
2.577468695177e12,36.0,3908.25,1338.64
2.577474735931e12,49.0,3908.25,2377.05
2.577474744682e12,50.0,3908.25,2377.05
2.577474750881e12,51.0,3908.25,2377.05
2.57747475708e12,52.0,3908.25,2377.05
2.577476828279e12,55.0,3908.25,2377.05
2.577476835572e12,56.0,3908.25,2377.05
2.577476840313e12,57.0,3908.25,2377.05
2.577476845053e12,58.0,3908.25,2377.05
2.577476850158e12,59.0,3908.25,2377.05
2.577476854899e12,60.0,3908.25,2377.05
2.577479647006e12,61.0,3908.25,2377.05
2.577479660133e12,62.0,3908.25,2379.33
2.577479668156e12,63.0,3908.25,2379.33
2.577479675813e12,64.0,3908.25,2379.33
2.577479683471e12,65.0,3908.25,2379.33
2.577479692587e12,66.0,3908.25,2379.33
2.577479704256e12,67.0,3908.25,2379.33
2.577479723947e12,69.0,3908.25,2379.33
2.577479734521e12,71.0,3908.25,2379.33
2.577479744732e12,73.0,3908.25,2379.33
2.577485130943e12,75.0,3908.25,2379.33
2.577485141882e12,76.0,3908.25,2379.33
2.57748514881e12,77.0,3908.25,2379.33
2.577485155374e12,78.0,3908.25,2379.33
2.57748516449e12,79.0,3908.25,2379.33
2.577485172513e12,80.0,3908.25,2379.33
2.577485179076e12,81.0,3908.25,2379.33
2.57748518564e12,82.0,3908.25,2379.33
2.577485196579e12,83.0,3908.25,2379.33
2.577485204966e12,85.0,3908.25,2379.33
2.577485212988e12,87.0,3908.25,2379.33
2.577485222105e12,90.0,3908.25,2379.33
2.57749049564e12,92.0,3908.25,2789.65
2.57749050585e12,93.0,3908.25,2789.65
2.577490516789e12,96.0,3908.25,2789.65
2.577490524082e12,97.0,3908.25,2789.65
2.577490532469e12,98.0,3908.25,2789.65
2.577490541221e12,99.0,3908.25,2789.65
2.577490548514e12,100.0,3908.25,2789.65
2.577490558359e12,101.0,3908.25,2789.65
2.577490565652e12,102.0,3908.25,2789.65
2.577490571851e12,103.0,3908.25,2789.65
2.577490580238e12,105.0,3908.25,2789.65
2.577490586437e12,106.0,3908.25,2789.65
2.577490592636e12,107.0,3908.25,2789.65
2.5774905992e12,108.0,3908.25,2789.65
2.577490607222e12,109.0,3908.25,2789.65
2.577490613785e12,110.0,3908.25,2789.65
2.577497333149e12,111.0,3908.25,2789.65
2.577497341171e12,112.0,3908.25,2820.48
2.577497347734e12,113.0,3908.25,2820.48
2.577497353933e12,114.0,3908.25,2820.48
2.577497360497e12,115.0,3908.25,2820.48
2.577497367061e12,116.0,3908.25,2820.48
2.57749737326e12,117.0,3908.25,2820.48
2.577497384564e12,121.0,3908.25,2820.48
2.577497396962e12,123.0,3908.25,2820.48
2.577497408266e12,127.0,3908.25,2820.48
2.577497415559e12,128.0,3908.25,2820.48
2.577497421393e12,129.0,3908.25,2820.48
2.577497427592e12,130.0,3908.25,2820.48
2.577497433427e12,131.0,3908.25,2820.48
2.577497439626e12,132.0,3908.25,2820.48
2.577497445825e12,133.0,3908.25,2820.48
2.577497452024e12,134.0,3908.25,2820.48
2.577506078494e12,135.0,3908.25,2820.48
2.577506101832e12,136.0,3908.25,2824.58
2.577506109125e12,137.0,3908.25,2824.58
2.577506115324e12,138.0,3908.25,2824.58
2.577506121523e12,139.0,3908.25,2824.58
2.577506127722e12,140.0,3908.25,2824.58
2.577506133556e12,141.0,3908.25,2824.58
2.577506139755e12,142.0,3908.25,2824.58
2.577506145954e12,143.0,3908.25,2824.58
2.577506157258e12,147.0,3908.25,2824.58
2.57750616528e12,148.0,3908.25,2824.58
2.577506175855e12,149.0,3908.25,2824.58
2.577506188618e12,153.0,3908.25,2827.85
2.577506195182e12,154.0,3908.25,2827.85
2.577506201381e12,155.0,3908.25,2827.85
2.577506211591e12,159.0,3908.25,2827.85
2.577506218519e12,160.0,3908.25,2827.85
2.577506224353e12,161.0,3908.25,2827.85
2.57750623274e12,162.0,3908.25,2827.85
2.577514017604e12,164.0,3908.25,2861.9
2.577514024168e12,165.0,3908.25,2861.9
2.577514030002e12,167.0,3908.25,2861.9
2.577514034742e12,168.0,3908.25,2861.9
2.577514039483e12,169.0,3908.25,2861.9
2.577514044223e12,170.0,3908.25,2861.9
2.577514062456e12,180.0,3908.25,2861.9
2.577514067561e12,181.0,3908.25,2945.72
2.577514072301e12,182.0,3908.25,2945.72
2.577514088346e12,193.0,3908.25,2945.72
2.577514093815e12,194.0,3908.25,2945.72
2.577514098191e12,195.0,3908.25,2945.72
2.577514102932e12,196.0,3908.25,2945.72
2.577523868197e12,215.0,3908.25,3009.65
2.577523883512e12,216.0,3908.25,3454.76
2.577523890076e12,217.0,3908.25,3454.76
2.57753076879e12,235.0,3908.25,3454.76
2.577530781553e12,236.0,3908.25,3470.79
2.577530788846e12,237.0,3908.25,3470.79
2.577530795409e12,238.0,3908.25,3470.79
2.577530802337e12,239.0,3908.25,3470.79
2.577530809266e12,240.0,3908.25,3470.79
2.577530816194e12,241.0,3908.25,3470.79
2.577530822028e12,242.0,3908.25,3470.79
2.577530828227e12,243.0,3908.25,3470.79
2.577530851565e12,251.0,3908.25,3470.79
2.577530858493e12,252.0,3908.25,3470.79
2.577530864692e12,253.0,3908.25,3470.79
2.577530870891e12,254.0,3908.25,3470.79
2.57753087709e12,255.0,3908.25,3470.79
2.577530883289e12,256.0,3908.25,3470.79
2.577530889124e12,257.0,3908.25,3470.79
2.577530895687e12,258.0,3908.25,3470.79
2.577530901886e12,259.0,3908.25,3470.79
2.577539340928e12,268.0,3908.25,3608.86
2.577539352597e12,269.0,3908.25,3608.86
2.577539360254e12,270.0,3908.25,3608.86
2.577539375569e12,274.0,3908.25,3608.86
2.577539391614e12,277.0,3908.25,3695.3
2.577539400001e12,278.0,3908.25,3695.3
2.577539411305e12,279.0,3908.25,3695.3
2.577539418233e12,280.0,3908.25,3695.3
2.577539431361e12,284.0,3908.25,3695.3
2.577539439018e12,285.0,3908.25,3695.3
2.577539445946e12,286.0,3908.25,3695.3
2.577539453239e12,287.0,3908.25,3695.3
2.577539469649e12,292.0,3908.25,3695.3
2.577539479129e12,293.0,3908.25,3695.3
